Timestamp,Gender,Age,Emotion,Filename
Timestamp,Age,Gender,Confidence,Emotion
2025-10-20 11:47:39,(25-32),Male,0.86,Happy
2025-10-20 11:47:39,(25-32),Male,0.65,Angry
2025-10-20 11:47:39,(25-32),Male,0.99,Sad
2025-10-20 11:47:40,(25-32),Male,0.96,Happy
2025-10-20 11:47:40,(25-32),Uncertain,0.53,Sad
2025-10-20 11:47:40,(25-32),Male,0.96,Angry
2025-10-20 11:47:40,(25-32),Male,0.98,Neutral
2025-10-20 11:47:40,(25-32),Male,0.91,Happy
2025-10-20 11:47:41,(0-2),Male,0.99,Surprise
2025-10-20 11:47:41,(0-2),Male,0.90,Neutral
2025-10-20 11:47:41,(0-2),Male,0.76,Happy
2025-10-20 11:47:41,(0-2),Male,0.92,Sad
2025-10-20 11:47:42,(0-2),Male,0.96,Surprise
2025-10-20 11:47:42,(0-2),Uncertain,0.55,Neutral
2025-10-20 11:47:42,(0-2),Uncertain,0.53,Happy
2025-10-20 11:47:43,(0-2),Male,0.80,Happy
2025-10-20 11:47:43,(25-32),Male,0.89,Angry
2025-10-20 11:47:43,(25-32),Male,0.81,Angry
2025-10-20 11:47:43,(0-2),Male,0.99,Angry
2025-10-20 11:47:43,(0-2),Male,1.00,Angry
2025-10-20 11:47:44,(0-2),Male,0.99,Surprise
2025-10-20 11:47:44,(0-2),Male,0.99,Sad
2025-10-20 11:47:44,(0-2),Male,1.00,Happy
2025-10-20 11:47:44,(38-43),Male,1.00,Surprise
2025-10-20 11:47:45,(0-2),Male,1.00,Angry
2025-10-20 11:47:45,(0-2),Male,1.00,Happy
2025-10-20 11:47:45,(0-2),Male,1.00,Sad
2025-10-20 11:47:45,(0-2),Male,1.00,Surprise
2025-10-20 11:47:45,(0-2),Male,0.98,Surprise
2025-10-20 11:47:46,(25-32),Male,0.96,Surprise
2025-10-20 11:47:46,(0-2),Male,1.00,Angry
2025-10-20 11:47:46,(0-2),Male,1.00,Neutral
2025-10-20 11:47:46,(0-2),Male,1.00,Surprise
Timestamp,Age,Gender,Confidence,Emotion
2025-10-20 11:48:29,(25-32),Female,0.95,Angry
2025-10-20 11:48:30,(8-12),Female,0.72,Surprise
2025-10-20 11:48:30,(4-6),Female,0.96,Neutral
2025-10-20 11:48:30,(25-32),Female,0.86,Surprise
2025-10-20 11:48:30,(25-32),Female,0.98,Neutral
2025-10-20 11:48:31,(25-32),Female,1.00,Neutral
2025-10-20 11:48:31,(25-32),Female,0.99,Happy
2025-10-20 11:48:31,(25-32),Female,0.97,Neutral
2025-10-20 11:48:31,(25-32),Female,0.97,Happy
2025-10-20 11:48:31,(25-32),Female,0.89,Surprise
2025-10-20 11:48:32,(25-32),Female,0.85,Surprise
2025-10-20 11:48:32,(25-32),Female,0.94,Sad
2025-10-20 11:48:32,(25-32),Female,0.92,Angry
2025-10-20 11:48:32,(25-32),Female,0.97,Angry
2025-10-20 11:48:32,(25-32),Female,0.99,Neutral
2025-10-20 11:48:33,(25-32),Female,1.00,Angry
2025-10-20 11:48:33,(25-32),Female,0.98,Angry
2025-10-20 11:48:33,(25-32),Female,0.99,Angry
2025-10-20 11:48:33,(25-32),Female,0.99,Happy
2025-10-20 11:48:33,(25-32),Female,0.96,Angry
2025-10-20 11:48:34,(25-32),Female,0.99,Neutral
2025-10-20 11:48:34,(8-12),Female,1.00,Neutral
2025-10-20 11:48:34,(8-12),Female,0.98,Surprise
2025-10-20 11:48:34,(8-12),Female,0.95,Happy
2025-10-20 11:48:34,(8-12),Female,0.99,Happy
2025-10-20 11:48:35,(8-12),Female,1.00,Surprise
2025-10-20 11:48:35,(8-12),Female,0.99,Angry
2025-10-20 11:48:35,(8-12),Female,1.00,Sad
2025-10-20 11:48:35,(8-12),Female,1.00,Happy
2025-10-20 11:48:35,(25-32),Female,1.00,Neutral
2025-10-20 11:48:36,(8-12),Female,0.99,Angry
2025-10-20 11:48:36,(25-32),Female,0.97,Surprise
2025-10-20 11:48:36,(25-32),Female,0.95,Neutral
2025-10-20 11:48:36,(25-32),Female,0.98,Surprise
2025-10-20 11:48:36,(25-32),Female,0.71,Angry
2025-10-20 11:48:37,(25-32),Female,0.94,Happy
2025-10-20 11:48:37,(25-32),Female,0.96,Angry
2025-10-20 11:48:37,(25-32),Female,0.98,Surprise
2025-10-20 11:48:37,(25-32),Female,0.98,Happy
2025-10-20 11:48:38,(25-32),Female,0.99,Happy
2025-10-20 11:48:38,(25-32),Female,0.96,Sad
2025-10-20 11:48:38,(25-32),Female,0.94,Surprise
2025-10-20 11:48:38,(25-32),Female,0.93,Surprise
2025-10-20 11:48:39,(25-32),Female,0.99,Neutral
2025-10-20 11:48:39,(25-32),Female,0.99,Sad
2025-10-20 11:48:39,(25-32),Female,0.93,Surprise
2025-10-20 11:48:39,(25-32),Male,0.73,Surprise
2025-10-20 11:48:39,(25-32),Male,0.98,Happy
2025-10-20 11:48:40,(25-32),Uncertain,0.51,Neutral
2025-10-20 11:48:40,(4-6),Uncertain,0.55,Happy
2025-10-20 11:48:40,(4-6),Uncertain,0.54,Happy
2025-10-20 11:48:40,(25-32),Uncertain,0.57,Surprise
2025-10-20 11:48:41,(25-32),Female,0.62,Happy
2025-10-20 11:48:41,(25-32),Uncertain,0.57,Neutral
2025-10-20 11:48:41,(25-32),Female,0.80,Neutral
2025-10-20 11:48:41,(25-32),Female,0.89,Angry
2025-10-20 11:48:41,(25-32),Uncertain,0.55,Surprise
2025-10-20 11:48:41,(25-32),Male,0.85,Neutral
2025-10-20 11:48:42,(38-43),Male,0.99,Sad
2025-10-20 11:48:42,(0-2),Male,0.99,Surprise
2025-10-20 11:48:42,(38-43),Male,0.97,Surprise
2025-10-20 11:48:42,(38-43),Female,0.67,Surprise
2025-10-20 11:48:42,(25-32),Female,0.60,Surprise
Timestamp,Age,Gender,Confidence,Emotion
2025-10-23 18:08:47,(48-53),Female,0.82,Surprise
2025-10-23 18:08:48,(48-53),Female,0.96,Neutral
2025-10-23 18:08:49,(48-53),Uncertain,0.50,Angry
2025-10-23 18:08:55,(15-20),Male,0.65,Surprise
2025-10-23 18:08:56,(8-12),Female,0.89,Angry
2025-10-23 18:08:56,(8-12),Female,0.64,Surprise
2025-10-23 18:08:56,(8-12),Female,0.85,Neutral
2025-10-23 18:08:57,(8-12),Female,0.75,Sad
2025-10-23 18:08:57,(25-32),Male,0.94,Happy
2025-10-23 18:08:58,(15-20),Uncertain,0.58,Angry
2025-10-23 18:09:13,(25-32),Female,0.96,Sad
2025-10-23 18:09:14,(8-12),Male,1.00,Happy
2025-10-23 18:09:14,(15-20),Male,1.00,Angry
2025-10-23 18:09:14,(15-20),Male,1.00,Neutral
2025-10-23 18:09:15,(8-12),Male,0.98,Neutral
2025-10-23 18:09:15,(4-6),Male,0.89,Surprise
2025-10-23 18:09:15,(8-12),Male,0.86,Happy
2025-10-23 18:09:15,(8-12),Male,1.00,Surprise
2025-10-23 18:09:16,(8-12),Male,0.99,Neutral
2025-10-23 18:09:16,(8-12),Male,0.98,Sad
2025-10-23 18:09:16,(8-12),Male,0.98,Neutral
2025-10-23 18:09:16,(8-12),Male,0.93,Angry
2025-10-23 18:09:16,(15-20),Male,0.99,Happy
2025-10-23 18:09:17,(15-20),Male,0.98,Neutral
2025-10-23 18:09:17,(15-20),Male,1.00,Neutral
2025-10-23 18:09:18,(8-12),Male,1.00,Happy
2025-10-23 18:09:18,(8-12),Male,0.99,Sad
2025-10-23 18:09:18,(15-20),Male,0.99,Surprise
2025-10-23 18:09:18,(15-20),Male,0.99,Surprise
2025-10-23 18:09:19,(4-6),Male,0.92,Angry
2025-10-23 18:09:22,(8-12),Male,0.89,Happy
2025-10-23 18:09:23,(8-12),Male,0.89,Surprise
2025-10-23 18:09:23,(15-20),Male,0.97,Neutral
2025-10-23 18:09:23,(15-20),Female,0.94,Sad
2025-10-23 18:09:24,(15-20),Male,0.94,Neutral
